Season,Name,Team,PA,BABIP,LD,GB,FB,IFFB,GB/FB,HR/FB,IFH,IFH,BUH,BUH,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
2007,Chase Utley,Phillies,613,.362,19.6 ,37.9 ,42.4 ,6.3 ,0.89,11.6 ,9,5.3 ,0,0.0 ,22.3 ,60.4 ,42.1 ,64.0 ,91.8 ,84.8 ,52.2 ,56.6 ,6.2 ,1679
2010,Kevin Youkilis,Red Sox,435,.327,16.3 ,37.0 ,46.7 ,9.3 ,0.79,13.6 ,12,10.8 ,0,0.0 ,21.4 ,55.9 ,38.5 ,75.9 ,91.4 ,87.0 ,49.5 ,57.7 ,4.9 ,1935
2007,Prince Fielder,Brewers,681,.283,19.3 ,34.9 ,45.8 ,8.1 ,0.76,23.9 ,3,1.9 ,0,0.0 ,28.1 ,68.8 ,47.8 ,51.4 ,87.0 ,76.2 ,48.3 ,54.8 ,10.9 ,4613
2010,Albert Pujols,Cardinals,700,.297,17.2 ,38.3 ,44.5 ,13.5 ,0.86,18.3 ,12,6.1 ,0,0.0 ,27.5 ,63.0 ,43.2 ,76.0 ,90.6 ,85.4 ,44.2 ,48.0 ,5.8 ,1177
2005,David Ortiz,Red Sox,713,.303,22.5 ,31.4 ,46.1 ,9.9 ,0.68,21.1 ,6,3.9 ,1,50.0 ,16.5 ,73.1 ,43.6 ,45.8 ,86.8 ,78.8 ,47.9 ,56.0 ,9.1 ,745
2009,Joey Votto,Reds,544,.372,21.7 ,39.0 ,39.3 ,1.4 ,0.99,17.5 ,6,4.2 ,0,0.0 ,24.4 ,74.0 ,47.2 ,58.5 ,83.2 ,76.3 ,46.0 ,56.6 ,10.8 ,4314
2006,Jermaine Dye,White Sox,611,.328,20.1 ,39.5 ,40.4 ,5.8 ,0.98,25.4 ,13,7.7 ,0,0.0 ,20.6 ,63.2 ,42.9 ,51.9 ,86.2 ,78.3 ,52.4 ,56.0 ,9.1 ,911
2007,Jorge Posada,Yankees,589,.386,22.1 ,40.4 ,37.5 ,4.5 ,1.08,13.0 ,3,1.8 ,0,0.0 ,17.6 ,61.5 ,38.3 ,55.6 ,91.2 ,82.5 ,47.2 ,51.4 ,6.6 ,841
2004,Travis Hafner,Indians,576,.350,18.8 ,38.2 ,43.0 ,8.0 ,0.89,17.3 ,7,4.9 ,0,0.0 ,15.5 ,74.0 ,46.3 ,37.7 ,78.9 ,72.4 ,52.6 ,55.6 ,12.6 ,1573
2003,Jim Edmonds,Cardinals,531,.297,20.2 ,33.5 ,46.3 ,4.0 ,0.72,26.2 ,1,0.9 ,0,0.0 ,20.4 ,69.8 ,43.0 ,47.5 ,78.4 ,70.5 ,45.8 ,54.8 ,12.6 ,1153
2012,Miguel Cabrera,Tigers,697,.331,21.7 ,42.3 ,36.0 ,4.7 ,1.17,23.0 ,7,3.1 ,0,0.0 ,33.9 ,71.7 ,50.0 ,71.3 ,90.4 ,83.0 ,42.5 ,57.4 ,8.1 ,1744
2008,Lance Berkman,Astros,665,.341,18.5 ,42.5 ,39.0 ,7.4 ,1.09,16.6 ,9,4.7 ,1,50.0 ,22.8 ,74.3 ,46.6 ,51.8 ,85.9 ,76.9 ,46.3 ,54.7 ,10.2 ,548
2010,Paul Konerko,White Sox,631,.326,19.8 ,35.1 ,45.0 ,7.5 ,0.78,19.5 ,6,3.8 ,0,0.0 ,27.7 ,59.9 ,42.7 ,63.1 ,89.1 ,80.2 ,46.7 ,55.8 ,8.2 ,242
2004,Manny Ramirez,Red Sox,663,.324,15.7 ,41.5 ,42.8 ,5.7 ,0.97,22.3 ,11,5.9 ,0,0.0 ,15.2 ,73.7 ,47.0 ,50.0 ,86.4 ,81.0 ,54.3 ,61.7 ,8.5 ,210
2003,Alex Rodriguez,Rangers,715,.305,22.8 ,38.8 ,38.4 ,15.5 ,1.01,25.1 ,12,6.3 ,0,0.0 ,22.3 ,67.8 ,44.2 ,44.4 ,85.2 ,74.5 ,48.2 ,55.7 ,11.1 ,1274
2005,Todd Helton,Rockies,626,.349,24.7 ,33.0 ,42.3 ,9.3 ,0.78,11.0 ,5,3.5 ,0,0.0 ,14.5 ,70.5 ,43.5 ,71.4 ,90.3 ,87.3 ,51.8 ,52.4 ,5.4 ,432
2002,Sammy Sosa,Cubs,666,.302,20.0 ,42.3 ,37.7 ,13.4 ,1.12,31.2 ,10,5.7 ,0,0.0 ,20.5 ,75.0 ,46.3 ,38.4 ,75.9 ,67.2 ,47.3 ,52.1 ,14.9 ,302
2006,Miguel Cabrera,Marlins,676,.379,24.2 ,40.3 ,35.5 ,6.6 ,1.14,15.6 ,12,6.3 ,1,100.0 ,23.1 ,67.3 ,45.7 ,53.2 ,89.8 ,80.7 ,51.1 ,53.9 ,8.3 ,1744
2002,Magglio Ordonez,White Sox,654,.316,20.9 ,41.1 ,38.0 ,9.2 ,1.08,19.4 ,8,3.8 ,0,0.0 ,17.1 ,76.1 ,49.3 ,45.4 ,85.6 ,79.2 ,54.5 ,57.7 ,10.2 ,248
2002,Mike Sweeney,Royals,545,.333,21.8 ,40.0 ,38.2 ,13.9 ,1.05,14.5 ,17,9.8 ,0,0.0 ,16.2 ,71.5 ,45.7 ,57.6 ,89.2 ,83.9 ,53.2 ,51.2 ,7.1 ,634
2008,Carlos Quentin,White Sox,569,.278,15.4 ,41.4 ,43.2 ,9.8 ,0.96,20.7 ,6,3.6 ,0,0.0 ,26.1 ,74.0 ,49.4 ,58.9 ,87.2 ,79.5 ,48.6 ,57.5 ,9.9 ,6274
2002,Jim Edmonds,Cardinals,576,.375,27.2 ,35.8 ,37.0 ,3.1 ,0.97,21.9 ,5,4.0 ,2,100.0 ,16.7 ,70.9 ,45.0 ,36.8 ,77.5 ,70.3 ,52.3 ,55.9 ,13.2 ,1153
2004,J.T. Snow,Giants,417,.365,23.2 ,38.1 ,38.8 ,8.0 ,0.98,10.7 ,3,2.7 ,0,0.0 ,10.3 ,71.1 ,42.0 ,51.3 ,86.7 ,82.6 ,52.1 ,51.6 ,7.1 ,1133
2005,Tony Clark,Diamondbacks,393,.321,22.1 ,43.4 ,34.5 ,6.5 ,1.26,32.6 ,4,3.4 ,0,0.0 ,22.4 ,72.4 ,48.0 ,39.4 ,80.4 ,71.1 ,51.2 ,58.3 ,13.5 ,182
2007,David Wright,Mets,711,.356,23.2 ,39.3 ,37.5 ,3.8 ,1.05,16.1 ,12,6.2 ,0,0.0 ,21.7 ,64.8 ,42.5 ,66.2 ,88.8 ,82.8 ,48.4 ,53.7 ,7.1 ,3787
2004,Bobby Abreu,Phillies,713,.329,21.3 ,41.9 ,36.8 ,3.5 ,1.14,17.5 ,13,6.7 ,0,0.0 ,9.7 ,58.7 ,35.4 ,58.2 ,87.6 ,83.8 ,52.4 ,52.3 ,5.7 ,945
2012,Ryan Braun,Brewers,677,.346,18.4 ,43.6 ,38.1 ,6.1 ,1.14,22.8 ,19,9.2 ,1,50.0 ,36.8 ,67.6 ,49.7 ,72.6 ,85.7 ,80.1 ,41.9 ,59.5 ,9.5 ,3410
2009,Kevin Youkilis,Red Sox,588,.359,21.1 ,34.6 ,44.3 ,5.5 ,0.78,16.5 ,12,9.4 ,0,0.0 ,19.2 ,58.8 ,38.8 ,57.3 ,89.7 ,81.6 ,49.4 ,59.4 ,6.8 ,1935
2011,Matt Kemp,Dodgers,689,.380,23.2 ,36.3 ,40.5 ,2.2 ,0.90,21.4 ,18,11.0 ,0,0.0 ,32.9 ,71.0 ,50.3 ,65.7 ,77.5 ,73.3 ,45.6 ,58.4 ,12.8 ,5631
2010,Carlos Gonzalez,Rockies,636,.384,20.8 ,42.5 ,36.6 ,9.6 ,1.16,20.4 ,13,6.7 ,2,66.7 ,37.0 ,70.8 ,52.2 ,60.2 ,88.7 ,77.6 ,45.0 ,59.1 ,11.1 ,7287
2009,Derrek Lee,Cubs,615,.327,19.2 ,35.1 ,45.7 ,4.6 ,0.77,17.9 ,10,6.7 ,0,0.0 ,21.5 ,65.8 ,43.2 ,60.5 ,85.2 ,79.0 ,49.0 ,58.1 ,8.7 ,525
2005,Chipper Jones,Braves,432,.300,23.0 ,41.8 ,35.2 ,2.8 ,1.19,19.6 ,4,3.1 ,0,0.0 ,9.5 ,69.1 ,37.4 ,52.9 ,88.2 ,83.4 ,46.7 ,47.7 ,6.0 ,97
